,feature_ID,밝기,분류,명칭,위도,경도
0,Point_0,25.471,파출소,도곡지구대,37.5013221,127.0440285
1,Point_1,25.471,파출소,역삼지구대,37.51592539999999,127.0520605
2,Point_2,25.471,파출소,역서치안센타,37.493819099999996,127.0321969
3,Point_3,25.471,파출소,역서파출소앞공중전화(옥외),37.493819099999996,127.0321969
4,Point_4,25.471,파출소,서울지방경찰청국제범죄수사대,37.5033779,127.037102
5,Point_5,25.471,파출소,양재파출소,37.48450649999999,127.03780220000002
6,Point_6,25.471,파출소,신사파출소,37.5183314,127.0241191
7,Point_7,25.471,파출소,논현1파출소,37.513774600000005,127.02931969999999
8,Point_8,25.471,파출소,서울서초경찰서서초파출소,37.4852476,127.01672620000001
9,Point_9,25.471,파출소,서초2파출소,37.487479799999996,127.02896329999999
10,Point_10,25.471,파출소,삼성2파출소,37.4932119,127.05893590000002
11,Point_11,25.471,파출소,논현2파출소,37.515181,127.0338544
12,Point_12,25.471,파출소,개포지구대,37.4806751,127.05125759999999
13,Point_13,25.471,파출소,도곡치안센타,37.4845355,127.0468249
14,Point_14,21.774,편의점,GS25 강남메트로점,37.4985723,127.02804280000001
15,Point_15,21.774,편의점,GS25 지에스강남점,37.502423,127.03758899999998
16,Point_16,21.774,편의점,CU 925신논현역점,37.5045961,127.02501840000001
17,Point_17,21.774,편의점,미니스톱 강남시티3점,37.4984765,127.0283403
18,Point_18,21.774,편의점,CU M강남역점,37.492183700000005,127.02905
19,Point_19,21.774,편의점,CU 역삼점,37.5047409,127.04696509999998
20,Point_20,21.774,편의점,세븐일레븐 역삼8호점,37.5018853,127.0267173
21,Point_21,21.774,편의점,세븐일레븐 KT강남점,37.504695500000004,127.0412371
22,Point_22,21.774,편의점,GS25 지에스본점,37.5018235,127.03588130000001
23,Point_23,21.774,편의점,이마트24 R강남역삼점,37.5007937,127.0268277
24,Point_24,21.774,편의점,GS25 역삼지에스점,37.50244989999999,127.03700649999999
25,Point_25,21.774,편의점,GS25 역삼프리미엄점,37.50286870000001,127.0389781
26,Point_26,21.774,편의점,GS25 강남시티힐점,37.5009906,127.02792209999998
27,Point_27,21.774,편의점,CU 역삼본점,37.5040242,127.0257044
28,Point_28,21.774,편의점,미니스톱 강남센터점,37.4997792,127.02744129999999
29,Point_29,21.774,편의점,이마트24 역삼휴먼터치빌점,37.50645720000001,127.0337383
30,Point_30,21.774,편의점,GS25 강남YBM점,37.4994466,127.02808459999999
31,Point_31,21.774,편의점,세븐일레븐 역삼GFC점,37.4999821,127.03640049999998
32,Point_32,21.774,편의점,GS25 차병원본점,37.5065713,127.0348
33,Point_33,21.774,편의점,CU 역삼역촌점,37.5059304,127.0331185
34,Point_34,21.774,편의점,GS25 강남타운점,37.4990162,127.029877
35,Point_35,21.774,편의점,CU 역삼성보점,37.50236339999999,127.04488719999999
36,Point_36,21.774,편의점,CU 국기원사거리점,37.4981707,127.03159109999999
37,Point_37,21.774,편의점,세븐일레븐 역삼개나리점,37.4986101,127.0458492
38,Point_38,21.774,편의점,CU 역삼하나점,37.5042701,127.0341442
39,Point_39,21.774,편의점,이마트24 강남역점,37.49862529999999,127.02802849999999
40,Point_40,21.774,편의점,세븐일레븐 역삼보브점,37.5046821,127.02613319999999
41,Point_41,21.774,편의점,스타편의점,37.5021078,127.02616359999999
42,Point_42,21.774,편의점,CU 강남센타점,37.497427200000004,127.0283935
43,Point_43,21.774,편의점,GS25 S강남역1호점,37.4872446,127.03278130000001
44,Point_44,21.774,편의점,GS25 역삼충현점,37.5057148,127.03772350000001
45,Point_45,21.774,편의점,세븐일레븐 역삼영화점,37.496714600000004,127.0375449
46,Point_46,21.774,편의점,CU M역삼역점,37.4981284,127.02830300000001
47,Point_47,21.774,편의점,CU 역삼강남점,37.4997088,127.02918159999999
48,Point_48,21.774,편의점,CU 역삼건화점,37.4934709,127.04196929999999
49,Point_49,21.774,편의점,CU 역삼진미점,37.500712,127.03427260000001
50,Point_50,21.774,편의점,CU 큰길타워점,37.50236339999999,127.0406629
51,Point_51,21.774,편의점,GS25 역삼거북점,37.5037266,127.0363318
