,LINK_NO,RDS_MAN_NO,RN,RN_CD,SP,EP,LUX
1490,LINK_1490,525,테헤란로33길,4166734,"[37.50169766868543, 127.03980132794024]","[37.50213021099335, 127.03957827142109]",0.0
1491,LINK_1491,525,테헤란로33길,4166734,"[37.50213021099335, 127.03957827142109]","[37.502323759541866, 127.03947845270399]",28.397
1492,LINK_1492,525,테헤란로33길,4166734,"[37.502323759541866, 127.03947845270399]","[37.50244788360421, 127.03941444870476]",128.73899999999998
1493,LINK_1493,525,테헤란로33길,4166734,"[37.50244788360421, 127.03941444870476]","[37.502684227471725, 127.03929256370164]",100.34199999999998
1494,LINK_1494,525,테헤란로33길,4166734,"[37.502684227471725, 127.03929256370164]","[37.502763285080405, 127.0392517996243]",56.794
1495,LINK_1495,525,테헤란로33길,4166734,"[37.502763285080405, 127.0392517996243]","[37.503071071634274, 127.03909306969936]",106.965
1496,LINK_1496,525,테헤란로33길,4166734,"[37.503071071634274, 127.03909306969936]","[37.50463430307936, 127.03835020373646]",78.568
1497,LINK_1497,1047,테헤란로33길,4166734,"[37.50213021099335, 127.03957827142109]","[37.501907792161106, 127.0388958996628]",28.397
1498,LINK_1498,1047,테헤란로33길,4166734,"[37.501907792161106, 127.0388958996628]","[37.501678213256774, 127.03819157743999]",0.0
1499,LINK_1499,1048,테헤란로33길,4166734,"[37.502763285080405, 127.0392517996243]","[37.50254074722016, 127.03856954741407]",106.965
1500,LINK_1500,1048,테헤란로33길,4166734,"[37.50254074722016, 127.03856954741407]","[37.50231370465468, 127.03787353374834]",56.794
1501,LINK_1501,1116,테헤란로33길,4166734,"[37.502323759541866, 127.03947845270399]","[37.5027501439234, 127.04086765228963]",128.73899999999998
1502,LINK_1502,554,테헤란로34길,4166735,"[37.50169766868543, 127.03980132794024]","[37.501285834955695, 127.0400118507708]",0.0
1503,LINK_1503,554,테헤란로34길,4166735,"[37.501285834955695, 127.0400118507708]","[37.500969630794074, 127.0401734978475]",21.774
1504,LINK_1504,554,테헤란로34길,4166735,"[37.500969630794074, 127.0401734978475]","[37.5009236181229, 127.0401969742485]",46.131
1505,LINK_1505,554,테헤란로34길,4166735,"[37.5009236181229, 127.0401969742485]","[37.50057179123577, 127.0403767974237]",46.131
1506,LINK_1506,554,테헤란로34길,4166735,"[37.50057179123577, 127.0403767974237]","[37.50012758405846, 127.04058569120872]",46.131
1507,LINK_1507,554,테헤란로34길,4166735,"[37.50012758405846, 127.04058569120872]","[37.49960211169517, 127.04083280896955]",0.0
1508,LINK_1508,554,테헤란로34길,4166735,"[37.49960211169517, 127.04083280896955]","[37.499320226072, 127.04096536956888]",24.357
1509,LINK_1509,554,테헤란로34길,4166735,"[37.499320226072, 127.04096536956888]","[37.49872854599496, 127.04124360237628]",0.0
1510,LINK_1510,776,테헤란로34길,4166735,"[37.50012758405846, 127.04058569120872]","[37.50040554731132, 127.041539269381]",0.0
1511,LINK_1511,777,테헤란로34길,4166735,"[37.499320226072, 127.04096536956888]","[37.499439202011814, 127.04137088603336]",0.0
1512,LINK_1512,777,테헤란로34길,4166735,"[37.499439202011814, 127.04137088603336]","[37.49955462174266, 127.04176427883863]",24.357
1513,LINK_1513,777,테헤란로34길,4166735,"[37.49955462174266, 127.04176427883863]","[37.49960044728403, 127.04192047809322]",0.0
1514,LINK_1514,526,테헤란로37길,4166736,"[37.502138133723506, 127.04118516465124]","[37.5027501439234, 127.04086765228963]",24.357
1515,LINK_1515,526,테헤란로37길,4166736,"[37.5027501439234, 127.04086765228963]","[37.50311326377288, 127.0406792709322]",0.0
1516,LINK_1516,526,테헤란로37길,4166736,"[37.50311326377288, 127.0406792709322]","[37.5035185932803, 127.04046898076416]",21.774
1517,LINK_1517,526,테헤란로37길,4166736,"[37.5035185932803, 127.04046898076416]","[37.50413788139263, 127.04017927051613]",81.151
1518,LINK_1518,526,테헤란로37길,4166736,"[37.50413788139263, 127.04017927051613]","[37.50430306861215, 127.04010199858558]",137.945
1519,LINK_1519,526,테헤란로37길,4166736,"[37.50430306861215, 127.04010199858558]","[37.50511564908215, 127.03972185863806]",166.34199999999998
1520,LINK_1520,1049,테헤란로37길,4166736,"[37.50311326377288, 127.0406792709322]","[37.502684227471725, 127.03929256370164]",21.774
1521,LINK_1521,555,테헤란로38길,4166737,"[37.502138133723506, 127.04118516465124]","[37.50171287903665, 127.04140355644002]",24.357
1522,LINK_1522,555,테헤란로38길,4166737,"[37.50171287903665, 127.04140355644002]","[37.50141919253664, 127.04155461398115]",21.774
1523,LINK_1523,555,테헤란로38길,4166737,"[37.50141919253664, 127.04155461398115]","[37.50136225758127, 127.04158372706848]",43.548
1524,LINK_1524,555,테헤란로38길,4166737,"[37.50136225758127, 127.04158372706848]","[37.50102041309257, 127.04175938842377]",21.774
1525,LINK_1525,555,테헤란로38길,4166737,"[37.50102041309257, 127.04175938842377]","[37.50109099534139, 127.04239498272317]",46.131
1526,LINK_1526,555,테헤란로38길,4166737,"[37.50109099534139, 127.04239498272317]","[37.50018842561669, 127.04281916245465]",46.131
1527,LINK_1527,555,테헤란로38길,4166737,"[37.50018842561669, 127.04281916245465]","[37.49990542941366, 127.04295215705288]",21.774
1528,LINK_1528,555,테헤란로38길,4166737,"[37.49990542941366, 127.04295215705288]","[37.49931793512271, 127.04322824132166]",46.131
1529,LINK_1529,778,테헤란로38길,4166737,"[37.49990542941366, 127.04295215705288]","[37.49978688082385, 127.04255112540214]",46.131
1530,LINK_1530,778,테헤란로38길,4166737,"[37.49978688082385, 127.04255112540214]","[37.49967062574361, 127.0421578654212]",21.774
1531,LINK_1531,778,테헤란로38길,4166737,"[37.49967062574361, 127.0421578654212]","[37.49960044728403, 127.04192047809322]",24.357
1532,LINK_1532,527,테헤란로39길,4166738,"[37.50394367252242, 127.04123468270728]","[37.50421596097586, 127.04110696167307]",28.397
1533,LINK_1533,527,테헤란로39길,4166738,"[37.50421596097586, 127.04110696167307]","[37.50484789380792, 127.04081055403995]",28.397
1534,LINK_1534,527,테헤란로39길,4166738,"[37.50484789380792, 127.04081055403995]","[37.50499450902819, 127.04074178920213]",81.151
1535,LINK_1535,527,테헤란로39길,4166738,"[37.50499450902819, 127.04074178920213]","[37.50540584244347, 127.04054884628584]",81.151
