,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG,밝기
1704,11680,1178,2,4166208,논현로97길,37.502141092476634,127.03442765207436,85.191
1705,11680,1179,0,4166721,테헤란로19길,37.50221603117871,127.03296239660664,52.754
1706,11680,1179,1,4166721,테헤란로19길,37.50218646124217,127.03312808660169,141.98499999999999
1707,11680,1179,2,4166721,테헤란로19길,37.50227086813869,127.03335784622,141.98499999999999
1708,11680,1179,3,4166721,테헤란로19길,37.50227661136672,127.03364307832987,113.588
1709,11680,1179,4,4166721,테헤란로19길,37.502276629266746,127.03364351939688,113.588
1710,11680,1179,5,4166721,테헤란로19길,37.50227967452144,127.03371015458968,85.191
1711,11680,1179,6,4166721,테헤란로19길,37.50245464428519,127.03428226239187,81.151
1712,11680,1180,0,4166721,테헤란로19길,37.50350651097809,127.03273225999786,85.191
1713,11680,1180,1,4166721,테헤란로19길,37.50320545185769,127.03172555696213,113.588
1714,11680,1181,0,4166005,강남대로110길,37.503056229476,127.03129596845015,52.754
1715,11680,1181,1,4166005,강남대로110길,37.50369301501808,127.03127592093482,56.794
1716,11680,1181,2,4166005,강남대로110길,37.503695357633006,127.03127584269855,56.794
1717,11680,1182,0,4166648,역삼로3길,37.49489647402473,127.03112919065521,56.794
1718,11680,1182,1,4166648,역삼로3길,37.49514553932705,127.03193693883252,85.191
1719,11680,1183,0,4166648,역삼로3길,37.494754811033246,127.03119636125544,85.191
1720,11680,1183,1,4166648,역삼로3길,37.494511453198,127.03038775122242,56.794
1721,11680,1184,0,4166743,테헤란로4길,37.49596159889127,127.0306241432292,28.397
1722,11680,1184,1,4166743,테헤란로4길,37.495715102095744,127.02981393770337,28.397
1723,11680,1185,0,4166719,테헤란로14길,37.496715631484975,127.03412619853313,56.794
1724,11680,1185,1,4166719,테헤란로14길,37.49645938601178,127.03330442341185,81.151
1725,11680,1186,0,4166719,테헤란로14길,37.49710830192701,127.03394079786696,50.171
1726,11680,1186,1,4166719,테헤란로14길,37.49728422533486,127.03454679254857,113.588
1727,11680,1188,0,3122008,역삼로,37.50343359430176,127.05968865229931,0.0
1728,11680,1188,1,3122008,역삼로,37.504108540013206,127.05934190678444,0.0
1729,11680,1189,0,3122008,역삼로,37.50291980149163,127.05810906695642,0.0
1730,11680,1189,1,3122008,역삼로,37.50359109271671,127.0577641502832,0.0
1731,11680,1190,0,3122008,역삼로,37.502770447686295,127.05764601987978,0.0
1732,11680,1190,1,3122008,역삼로,37.50343787012502,127.0573056997882,0.0
1733,11680,1191,0,3122008,역삼로,37.50262051498512,127.05718390157713,0.0
1734,11680,1191,1,3122008,역삼로,37.503283098198814,127.05684262449304,0.0
1735,11680,1192,0,3122008,역삼로,37.50177059655786,127.05457473916721,0.0
1736,11680,1192,1,3122008,역삼로,37.502431471128716,127.05422969832502,0.0
1737,11680,1221,0,4166224,도곡로27길,37.492881920175854,127.04241988619823,0.0
1738,11680,1221,1,4166224,도곡로27길,37.49361409638173,127.04208952919123,46.131
1739,11680,1221,2,4166224,도곡로27길,37.49371017042337,127.04240187202576,24.357
1740,11680,1221,3,4166224,도곡로27길,37.49437332159477,127.04209572958669,24.357
1741,11680,1221,4,4166224,도곡로27길,37.49496616485534,127.04182203218964,0.0
1742,11680,1221,5,4166224,도곡로27길,37.49557060510053,127.04154297657206,24.357
1743,11680,1221,6,4166224,도곡로27길,37.496037964392315,127.04132396989763,24.357
1744,11680,1225,0,4166109,논현로105길,37.50595648287354,127.03385203100706,81.151
1745,11680,1225,1,4166109,논현로105길,37.50667277046343,127.03350868934095,28.397
1746,11680,1226,0,4166344,봉은사로26길,37.50505806337463,127.03397785904188,28.397
1747,11680,1226,1,4166344,봉은사로26길,37.504991494634204,127.03375854794292,50.171
1748,11680,1226,2,4166344,봉은사로26길,37.50475557085115,127.03355049710859,50.171
1749,11680,1227,0,4166721,테헤란로19길,37.50464684827273,127.03130916512954,85.191
1750,11680,1227,1,4166721,테헤란로19길,37.50390208761688,127.03067783533922,56.794
1751,11680,1227,2,4166721,테헤란로19길,37.50389903387831,127.03067522166668,56.794
1752,11680,1228,0,4166633,역삼로14길,37.49415749135094,127.0353597264886,50.171
1753,11680,1228,1,4166633,역삼로14길,37.493896013361685,127.03452779573105,56.794
1754,11680,1244,0,4166037,강남대로94길,37.49982210781679,127.02970243289336,81.151
1755,11680,1244,1,4166037,강남대로94길,37.501131515861566,127.02907141691587,85.191
1756,11680,1245,0,4166749,테헤란로5길,37.50109000358811,127.02904679320257,56.794
1757,11680,1245,1,4166749,테헤란로5길,37.50141502050703,127.02889293935542,85.191
1758,11680,1245,2,4166749,테헤란로5길,37.501681862397305,127.02876662339027,52.754
1759,11680,1245,3,4166749,테헤란로5길,37.501685052286405,127.02876508650856,52.754
1760,11680,1246,0,4166038,강남대로96길,37.49986628998051,127.02804138299332,85.191
1761,11680,1246,1,4166038,강남대로96길,37.50029875961016,127.02784333591556,85.191
1762,11680,1247,0,4166039,강남대로98길,37.50075119504085,127.02772648070405,56.794
1763,11680,1247,1,4166039,강남대로98길,37.50032545508326,127.0279290782046,85.191
1764,11680,1248,0,4166357,봉은사로4길,37.502759945396015,127.02685328035038,188.11599999999999
1765,11680,1248,1,4166357,봉은사로4길,37.50293833063015,127.02745034796949,56.794
1766,11680,1259,0,4166559,언주로103길,37.506115950416884,127.03737947702038,85.191
1767,11680,1259,1,4166559,언주로103길,37.506545076382686,127.03717523400258,194.73899999999998
1768,11680,1259,2,4166559,언주로103길,37.50659653753696,127.03733681989873,194.73899999999998
1769,11680,1271,0,4166749,테헤란로5길,37.49945465560721,127.02950398387917,28.397
1770,11680,1271,1,4166749,테헤란로5길,37.49981295459603,127.03066404290027,28.397
1771,11680,1272,0,4166641,역삼로25길,37.49742094103289,127.03961168394798,0.0
1772,11680,1272,1,4166641,역삼로25길,37.497570174714994,127.0401076941722,0.0
1773,11680,1272,2,4166641,역삼로25길,37.49771640027663,127.04059371937413,24.357
1774,11680,1272,3,4166641,역삼로25길,37.497717246272956,127.0405965695634,24.357
1775,11680,1273,0,4166644,역삼로33길,37.49761932978079,127.0417652192102,21.774
1776,11680,1273,1,4166644,역삼로33길,37.497924423374336,127.04240284629505,0.0
1777,11680,1273,2,4166644,역삼로33길,37.498180889132115,127.04220452026549,0.0
1778,11680,1274,0,4166186,논현로65길,37.492973167863475,127.03812451718169,109.548
1779,11680,1274,1,4166186,논현로65길,37.493366269404476,127.03793551706814,56.794
1780,11680,1274,2,4166186,논현로65길,37.4932953946626,127.0377077876065,85.191
1781,11680,1284,0,4166005,강남대로110길,37.503814200395716,127.02661426087141,137.945
1782,11680,1284,1,4166005,강남대로110길,37.504089437608116,127.0264852778263,56.794
1783,11680,1285,0,4166004,강남대로106길,37.503112190988325,127.02706103885036,106.965
1784,11680,1285,1,4166004,강남대로106길,37.50355833871284,127.02684982933914,106.965
1785,11680,1286,0,4166337,봉은사로18길,37.503471658961786,127.02904130044963,85.191
1786,11680,1286,1,4166337,봉은사로18길,37.503212832910975,127.02948584402706,85.191
1787,11680,1287,0,4166637,역삼로19길,37.49580097152735,127.03700752407342,28.397
1788,11680,1287,1,4166637,역삼로19길,37.49589198699333,127.03665749763077,85.191
1789,11680,1288,0,4166637,역삼로19길,37.495494498430155,127.03688117964272,28.397
1790,11680,1288,1,4166637,역삼로19길,37.49558399218643,127.0365569930127,56.794
1791,11680,1289,0,4166633,역삼로14길,37.4938922999016,127.0354860862432,131.322
1792,11680,1289,1,4166633,역삼로14길,37.49379703654389,127.03517358224708,137.945
1793,11680,1290,0,4166633,역삼로14길,37.49358184486103,127.0356340226228,85.191
1794,11680,1290,1,4166633,역삼로14길,37.49348107819847,127.03531656439785,113.588
1795,11680,1291,0,4166633,역삼로14길,37.4934051164475,127.03571823114207,56.794
1796,11680,1291,1,4166633,역삼로14길,37.493305358978255,127.03540129416962,85.191
1797,11680,1292,0,4166192,논현로71길,37.49407866384345,127.03594890437981,81.151
1798,11680,1292,1,4166192,논현로71길,37.49365850525052,127.03614900858028,85.191
1799,11680,1293,0,4166639,역삼로20길,37.4942312974937,127.03800584313612,194.73899999999998
1800,11680,1293,1,4166639,역삼로20길,37.49432543435661,127.03832398337522,85.191
1801,11680,1294,0,4166639,역삼로20길,37.49409269200713,127.03816662040285,109.548
1802,11680,1294,1,4166639,역삼로20길,37.49416856778056,127.03841879174573,56.794
1803,11680,1295,0,4166188,논현로67길,37.49353304204185,127.0371754474259,113.588
1804,11680,1295,1,4166188,논현로67길,37.49378015027737,127.03705564428304,109.548
1805,11680,1317,0,4166721,테헤란로19길,37.50221603117871,127.03296239660664,52.754
1806,11680,1317,1,4166721,테헤란로19길,37.502241165066906,127.03284167004163,81.151
1807,11680,1317,2,4166721,테헤란로19길,37.50219477349624,127.03256545735262,137.945
1808,11680,1317,3,4166721,테헤란로19길,37.50235529150732,127.032477176151,137.945
1809,11680,1317,4,4166721,테헤란로19길,37.502256214210576,127.03214500635264,113.588
1810,11680,1329,0,4166347,봉은사로30길,37.50704442417942,127.0352217711474,81.151
1811,11680,1329,1,4166347,봉은사로30길,37.5072341138624,127.03583841895819,85.191
1812,11680,1329,2,4166347,봉은사로30길,37.50706062032175,127.03592253068851,113.588
1813,11680,1330,0,4166562,언주로107길,37.50741987669665,127.037103288775,28.397
1814,11680,1330,1,4166562,언주로107길,37.50705883096607,127.03727558258984,85.191
1815,11680,1330,2,4166562,언주로107길,37.506961708975375,127.03698818512864,100.34199999999998
1816,11680,1331,0,4166209,논현로98길,37.50360114570362,127.03611807757562,50.171
1817,11680,1331,1,4166209,논현로98길,37.503017836119106,127.03640514442102,85.191
1818,11680,1331,2,4166209,논현로98길,37.50314047028114,127.03680191063684,56.794
1819,11680,1332,0,4166623,언주로93길,37.503714461540476,127.04082180102243,56.794
1820,11680,1332,1,4166623,언주로93길,37.50408644238893,127.0406475811237,56.794
1821,11680,1332,2,4166623,언주로93길,37.50421596097586,127.04110696167307,28.397
1822,11680,1344,0,4166606,언주로63길,37.49459129277221,127.04527269833969,46.131
1823,11680,1344,1,4166606,언주로63길,37.49437792363073,127.04537916328056,24.357
1824,11680,1345,0,4166187,논현로66길,37.49448596971168,127.04247247259802,24.357
1825,11680,1345,1,4166187,논현로66길,37.49417422671993,127.04261989427759,0.0
1826,11680,1345,2,4166187,논현로66길,37.49427372160426,127.04293664082745,24.357
1827,11680,1346,0,4166607,언주로65길,37.49498152617,127.04413476442137,24.357
1828,11680,1346,1,4166607,언주로65길,37.49514623104443,127.04405373342851,0.0
1829,11680,1346,2,4166607,언주로65길,37.49504214075068,127.04369584017692,0.0
1830,11680,1346,3,4166607,언주로65길,37.49487408555772,127.0437736358401,0.0
1831,11680,1347,0,4166632,역삼로12길,37.49317543142967,127.03487493463028,85.191
1832,11680,1347,1,4166632,역삼로12길,37.493120296455956,127.0346928766189,56.794
1833,11680,1347,2,4166632,역삼로12길,37.492823267792176,127.03483894363377,81.151
1834,11680,1348,0,4166192,논현로71길,37.49502467262764,127.03906978038715,56.794
1835,11680,1348,1,4166192,논현로71길,37.4946376444392,127.03925152200796,85.191
1836,11680,1348,2,4166192,논현로71길,37.49453388402844,127.0389155869242,81.151
1837,11680,1349,0,4166192,논현로71길,37.49454474343916,127.03748609683856,102.925
1838,11680,1349,1,4166192,논현로71길,37.494243710075736,127.03763504848116,109.548
1839,11680,1349,2,4166192,논현로71길,37.494325368473795,127.03789672133057,194.73899999999998
1840,11680,1350,0,4166192,논현로71길,37.494400556141116,127.03701054782871,56.794
1841,11680,1350,1,4166192,논현로71길,37.4940904048788,127.037160740639,166.34199999999998
1842,11680,1350,2,4166192,논현로71길,37.49404061136426,127.03699533789444,194.73899999999998
1843,11680,1350,3,4166192,논현로71길,37.49434872781381,127.03683961392052,113.588
1844,11680,1351,0,4166192,논현로71길,37.4942553497905,127.03653164169386,194.73899999999998
1845,11680,1351,1,4166192,논현로71길,37.493848669686756,127.03673004192913,166.34199999999998
1846,11680,1351,2,4166192,논현로71길,37.49377908020947,127.03650517364711,113.588
1847,11680,1352,0,4166188,논현로67길,37.49402040218876,127.03877987274143,133.905
1848,11680,1352,1,4166188,논현로67길,37.49367764584875,127.03894471888736,113.588
1849,11680,1352,2,4166188,논현로67길,37.493774389463894,127.03927421242993,56.794
1850,11680,1353,0,4166198,논현로79길,37.49703699787667,127.03506655449814,85.191
1851,11680,1353,1,4166198,논현로79길,37.497068002784964,127.03496584420077,85.191
1852,11680,1353,2,4166198,논현로79길,37.49717726341649,127.03491465437,113.588
1853,11680,1354,0,4166198,논현로79길,37.49739097097749,127.0355788737525,28.397
1854,11680,1354,1,4166198,논현로79길,37.49782841955686,127.0353751228713,85.191
1855,11680,1354,2,4166198,논현로79길,37.497941747353686,127.035749837925,85.191
1856,11680,1456,0,4166441,선릉로107길,37.509035201786475,127.04352626582629,106.965
1857,11680,1456,1,4166441,선릉로107길,37.508530407415094,127.04370770323574,166.34199999999998
1858,11680,1456,2,4166441,선릉로107길,37.508471923436154,127.0434553409282,81.151
1859,11680,1472,0,4166618,언주로85길,37.50120463967118,127.04277975598764,0.0
1860,11680,1472,1,4166618,언주로85길,37.50030143855221,127.04320204278922,0.0
1861,11680,1473,0,3122008,역삼로,37.496537200364955,127.04064588102274,21.774
1862,11680,1473,1,3122008,역삼로,37.497168690979244,127.04015831903308,0.0
1863,11680,1474,0,4166626,언주로98길,37.5047128954871,127.04436615888036,56.794
1864,11680,1474,1,4166626,언주로98길,37.50571325975924,127.04465138523024,113.588
1865,11680,1476,0,4166626,언주로98길,37.504900393627615,127.04333399279926,56.794
1866,11680,1476,1,4166626,언주로98길,37.50475340238118,127.04328995045395,85.191
1867,11680,1476,2,4166626,언주로98길,37.504669904180524,127.04372850052566,78.568
1868,11680,1476,3,4166626,언주로98길,37.50482039045279,127.04377445697308,106.965
1869,11680,1477,0,4166626,언주로98길,37.5050860412087,127.04231196529064,74.52799999999999
1870,11680,1477,1,4166626,언주로98길,37.50557007409796,127.0424456719268,28.397
1871,11680,1478,0,4166626,언주로98길,37.50465276850453,127.04469714436487,50.171
1872,11680,1478,1,4166626,언주로98길,37.50565479776557,127.04498527115534,109.548
1873,11680,1479,0,4166626,언주로98길,37.50459291143929,127.04502664792223,102.925
1874,11680,1479,1,4166626,언주로98길,37.50555212958977,127.0453010125823,113.588
1875,11680,1480,0,4166746,테헤란로53길,37.507221173871656,127.04396783063575,46.131
1876,11680,1480,1,4166746,테헤란로53길,37.506866163070114,127.04386663216299,56.794
1877,11680,1480,2,4166746,테헤란로53길,37.5065209269879,127.04376822238234,81.151
1878,11680,1480,3,4166746,테헤란로53길,37.50593219387415,127.04360039298936,56.794
1879,11680,1481,0,4166353,봉은사로44길,37.50538783048054,127.04344419477579,56.794
1880,11680,1481,1,4166353,봉은사로44길,37.50593219387415,127.04360039298936,56.794
1881,11680,1482,0,4166355,봉은사로48길,37.506792752958496,127.04332653193279,56.794
1882,11680,1482,1,4166355,봉은사로48길,37.5054802336497,127.04294240129448,81.151
1883,11680,1482,2,4166355,봉은사로48길,37.5054792967073,127.04294212934408,81.151
1884,11680,1483,0,4166355,봉은사로48길,37.507069048756655,127.04287757976822,85.191
1885,11680,1483,1,4166355,봉은사로48길,37.50608506898689,127.04259405473448,85.191
1886,11680,1483,2,4166355,봉은사로48길,37.50557007409796,127.0424456719268,28.397
1887,11680,1484,0,4166355,봉은사로48길,37.50700172389681,127.04298698877815,113.588
1888,11680,1484,1,4166355,봉은사로48길,37.50725143692446,127.0432385021562,56.794
1889,11680,1484,2,4166355,봉은사로48길,37.506866163070114,127.04386663216299,56.794
1890,11680,1486,0,4166439,선릉로103길,37.50707598189045,127.04485074913407,78.568
1891,11680,1486,1,4166439,선릉로103길,37.50728421019323,127.04450894652796,28.397
1892,11680,1487,0,4166746,테헤란로53길,37.50729755129686,127.04384267251072,102.925
1893,11680,1487,1,4166746,테헤란로53길,37.50743362716389,127.04397322139076,74.52799999999999
1894,11680,1487,2,4166746,테헤란로53길,37.50771648221123,127.04350579085512,56.794
1895,11680,1487,3,4166746,테헤란로53길,37.50758503756963,127.04337352579395,56.794
1896,11680,1487,4,4166746,테헤란로53길,37.5075842809883,127.04337280153068,56.794
1897,11680,1488,0,4166563,언주로108길,37.508506500211226,127.04076486717337,52.754
1898,11680,1488,1,4166563,언주로108길,37.50927082608127,127.04040827002663,0.0
1899,11680,1489,0,4166563,언주로108길,37.50859440082701,127.04106411232891,137.945
1900,11680,1489,1,4166563,언주로108길,37.50935887989768,127.04071010795056,0.0
1901,11680,1490,0,4166563,언주로108길,37.508682768648356,127.04136499841029,220.55299999999997
1902,11680,1490,1,4166563,언주로108길,37.5094462129829,127.04100943531836,0.0
1903,11680,1529,0,4166337,봉은사로18길,37.501067195819786,127.02775558751007,102.925
1904,11680,1529,1,4166337,봉은사로18길,37.50141502050703,127.02889293935542,85.191
1905,11680,1530,0,4166749,테헤란로5길,37.501922842719324,127.02954003133496,56.794
1906,11680,1530,1,4166749,테헤란로5길,37.501685052286405,127.02876508650856,52.754
1907,11680,1530,2,4166749,테헤란로5길,37.50133618112487,127.02762819446724,52.754
1908,11680,1532,0,4166003,강남대로102길,37.50204849280824,127.0269661996,102.925
1909,11680,1532,1,4166003,강남대로102길,37.50237634617591,127.02680737097543,85.191
1910,11680,1532,2,4166003,강남대로102길,37.50239944590731,127.0267739826043,85.191
1911,11680,1532,3,4166003,강남대로102길,37.502296750013464,127.02643502210027,28.397
1912,11680,1532,4,4166003,강남대로102길,37.50229638986697,127.02643382320365,28.397
1913,11680,1534,0,4166003,강남대로102길,37.503449938036105,127.02816747242069,50.171
1914,11680,1534,1,4166003,강남대로102길,37.50313867324817,127.02874664898113,56.794
1915,11680,1535,0,4166718,테헤란로13길,37.502725376122775,127.03125134633929,81.151
1916,11680,1535,1,4166718,테헤란로13길,37.50261923501215,127.03090529728183,170.38199999999998
1917,11680,1535,2,4166718,테헤란로13길,37.50298918541653,127.03072162057848,85.191
1918,11680,1536,0,4166726,테헤란로25길,37.50099514992515,127.03531627559653,0.0
1919,11680,1536,1,4166726,테헤란로25길,37.50123367212296,127.03609172068188,50.171
1920,11680,1536,2,4166726,테헤란로25길,37.50198610921878,127.03573671089954,50.171
1921,11680,1541,0,4166718,테헤란로13길,37.5011535526328,127.03201198004112,56.794
1922,11680,1541,1,4166718,테헤란로13길,37.5012691798944,127.03238544096563,137.945
1923,11680,1541,2,4166718,테헤란로13길,37.5017853455466,127.03213681845936,28.397
1924,11680,1542,0,4166721,테헤란로19길,37.50185948806809,127.03299628762876,159.719
1925,11680,1542,1,4166721,테헤란로19길,37.501987882496465,127.03342486859495,137.945
1926,11680,1542,2,4166721,테헤란로19길,37.50185212493393,127.03357324341174,52.754
1927,11680,1542,3,4166721,테헤란로19길,37.50185164725136,127.03357380866501,52.754
1928,11680,1543,0,4166208,논현로97길,37.50286382987007,127.03363628422913,85.191
